Total trial size	A	B	C	D	E
500	-	0.408	0.054	0.040	0.000
1,000	-	0.820	0.059	0.075	0.004
2,000	-	0.986	0.089	0.086	0.037
3,000	-	1.000	0.110	0.112	0.112
5,000	-	1.000	0.155	0.179	0.228
10,000	-	1.000	0.272	0.311	0.421
20,000	-	1.000	0.486	0.527	0.708
